=== Модели, отсутствующие в JSON (но есть в Excel) ===
                                    Модель Источник
                  Аляска СН-153 В хром/ХДП    Excel

                  Аризона СН-400 В хром/МБ    Excel

              Вермонт СН-151 В хром/ХДП/МБ    Excel

                   Верона К-10 В дерево/МБ    Excel

               Калифорния СН-438 В хром/МБ    Excel
              Калифорния СН-438 В хром/ХДП    Excel

                       Престиж Нептун хром    Excel

                  Самба GTP пиастра/столик    Excel
                       Самба GTP TG/столик    Excel
                Сириус С-102 Гольф пластик    Excel

                        Честер GTS TG хром    Excel

               Энжел Лайт СН-800 черный TG    Excel
            Энжел СН-800 чёрный Н/п Нео СН    Excel

=== Модели, отсутствующие в Excel (но есть в JSON) ===
                        Модель Источник
          Дэли ch-503 white ch     JSON
                         Тоник     JSON
                    Epik е-277     JSON
                 Астек пвм б/п     JSON
                   Престиж cpt     JSON
                  Престиж люкс     JSON
                   Престиж пвм     JSON
      Самба люкс gtp tg столик     JSON
              Айкью сн-710 н_п     JSON
        Айкью сн-710 н пластик     JSON
         Бремен м-123 алюминий     JSON
  Вермонт сн-151 в хром хдп мб     JSON
          Кайман в топ-ган lux     JSON
      Калифорния в cн-438 хром     JSON
     Канзас м-111 пластик/хром     JSON
    Онтарио м-105 пластик/хром     JSON
Онтарио м-405 н/п пластик/хром     JSON
                    Ройс м-704     JSON
                 Палермо м-702     JSON
                         Изо-2     JSON
                         Изо-3     JSON
                       Клуб 4l     JSON
                       Клуб 4к     JSON
                      Клуб gts     JSON
                          Клуб     JSON
                     Шелл софт     JSON

=== Несовпадения параметров (требуют исправления) ===
                                     Модель                 Параметр               JSON          Excel Нужно исправить?
                  Энтер СН-320 Т-01 пластик                   brutto                  -              -               Да
                  Энтер СН-320 Т-01 пластик            package_depth                  -              -               Да
                  Энтер СН-320 Т-01 пластик            package_width                624              -               Да
                  Энтер СН-320 Т-01 пластик            package_depth                324              -               Да
                  Энтер СН-320 Т-01 пластик           package_height                665              -               Да
                  Энтер СН-320 Т-01 пластик                   brutto                 11              -               Да
                  Энтер СН-320 Т-01 пластик                   volume               0,13              -               Да
                       Кресло EPIK A-112-G             package_width                  -            920               Да
                       Кресло EPIK A-112-G                     netto                  -           23.4               Да
                       Кресло EPIK A-112-G            package_height                  -          650.0               Да
                       Кресло EPIK A-112-G                    volume                  -           0.21               Да
                       Кресло EPIK A-112-G                    brutto                  -             26               Да
                       Кресло EPIK A-112-G             package_depth                  -          340.0               Да
                        Кресло EPIK A-130-G            package_width                  -            890               Да
                        Кресло EPIK A-130-G                    netto                  -           19.4               Да
                        Кресло EPIK A-130-G           package_height                  -          650.0               Да
                        Кресло EPIK A-130-G                   volume                  -           0.21               Да
                        Кресло EPIK A-130-G                   brutto                  -             22               Да
                        Кресло EPIK A-130-G            package_depth                  -          350.0               Да
                        Кресло EPIK A-155-G            package_width                  -            855               Да
                        Кресло EPIK A-155-G                    netto                  -          19.15               Да
                        Кресло EPIK A-155-G           package_height                  -          650.0               Да
                        Кресло EPIK A-155-G                   volume                  -           0.19               Да
                        Кресло EPIK A-155-G                   brutto                  -             22               Да
                        Кресло EPIK A-155-G            package_depth                  -          340.0               Да
                        Кресло EPIK А-177-G            package_width                  -           1065               Да
                        Кресло EPIK А-177-G                    netto                  -           24.9               Да
                        Кресло EPIK А-177-G           package_height                  -          585.0               Да
                        Кресло EPIK А-177-G                   volume                  -           0.45               Да
                        Кресло EPIK А-177-G                   brutto                  -           34.2               Да
                        Кресло EPIK А-177-G            package_depth                  -          730.0               Да
                        Кресло EPIK A-181-G            package_width                  -            970               Да
                        Кресло EPIK A-181-G                    netto                  -          26.05               Да
                        Кресло EPIK A-181-G           package_height                  -          695.0               Да
                        Кресло EPIK A-181-G                   volume                  -           0.43               Да
                        Кресло EPIK A-181-G                   brutto                  -          32.35               Да
                        Кресло EPIK A-181-G            package_depth                  -          635.0               Да
                        Кресло EPIK A-181-G            package_width               1040            970               Да
                        Кресло EPIK A-181-G            package_depth                710          635.0               Да
                        Кресло EPIK A-181-G           package_height                660          695.0               Да
                        Кресло EPIK E-201-G            package_width                  -            730               Да
                        Кресло EPIK E-201-G                    netto                  -           20.2               Да
                        Кресло EPIK E-201-G           package_height                  -          650.0               Да
                        Кресло EPIK E-201-G                   volume                  -          0.313               Да
                        Кресло EPIK E-201-G                   brutto                  -              -               Да
                        Кресло EPIK E-201-G            package_depth                  -          660.0               Да
                        Кресло EPIK E-201-G            package_width                650            730               Да
                        Кресло EPIK E-201-G            package_depth                650          660.0               Да
                        Кресло EPIK E-201-G           package_height                735          650.0               Да
                        Кресло EPIK E-201-G                   brutto               24,3              -               Да
                        Кресло EPIK E-212-G            package_width                  -            930               Да
                        Кресло EPIK E-212-G                    netto                  -           19.2               Да
                        Кресло EPIK E-212-G           package_height                  -          660.0               Да
                        Кресло EPIK E-212-G                   volume                  -           0.28               Да
                        Кресло EPIK E-212-G                   brutto                  -           23.1               Да
                        Кресло EPIK E-212-G            package_depth                  -          460.0               Да
                       Кресло EPIK E-222-MB            package_width                  -            730               Да
                       Кресло EPIK E-222-MB                    netto                  -           25.5               Да
                       Кресло EPIK E-222-MB           package_height                  -          655.0               Да
                       Кресло EPIK E-222-MB                   volume                  -           0.25               Да
                       Кресло EPIK E-222-MB                   brutto                  -           33.4               Да
                       Кресло EPIK E-222-MB            package_depth                  -          520.0               Да
                       Кресло EPIK K-400-CH            package_width                  -            760               Да
                       Кресло EPIK K-400-CH                    netto                  -          18.25               Да
                       Кресло EPIK K-400-CH           package_height                  -          620.0               Да
                       Кресло EPIK K-400-CH                   volume                  -           0.32               Да
                       Кресло EPIK K-400-CH                   brutto                  -           26.5               Да
                       Кресло EPIK K-400-CH            package_depth                  -          680.0               Да
                       Кресло EPIK К-430-CH            package_width                  -            700               Да
                       Кресло EPIK К-430-CH                    netto                  -           16.7               Да
                       Кресло EPIK К-430-CH           package_height                  -          660.0               Да
                       Кресло EPIK К-430-CH                   volume                  -           0.33               Да
                       Кресло EPIK К-430-CH                   brutto                  -           20.7               Да
                       Кресло EPIK К-430-CH            package_depth                  -          710.0               Да
                       Кресло EPIK Р-521-SB            package_width                  -            730               Да
                       Кресло EPIK Р-521-SB                    netto                  -           22.4               Да
                       Кресло EPIK Р-521-SB           package_height                  -          410.0               Да
                       Кресло EPIK Р-521-SB                   volume                  -           0.21               Да
                       Кресло EPIK Р-521-SB                   brutto                  -           26.2               Да
                       Кресло EPIK Р-521-SB            package_depth                  -          715.0               Да
                         Кресло EPIK Р-700             package_width                  -            700               Да
                         Кресло EPIK Р-700                     netto                  -           12.6               Да
                         Кресло EPIK Р-700            package_height                  -          670.0               Да
                         Кресло EPIK Р-700                    volume                  -           0.16               Да
                         Кресло EPIK Р-700                    brutto                  -           15.3               Да
                         Кресло EPIK Р-700             package_depth                  -          335.0               Да
                       Кресло EPIK А-001-MB            package_width                  -           1065               Да
                       Кресло EPIK А-001-MB                    netto                  -           24.9               Да
                       Кресло EPIK А-001-MB           package_height                  -          585.0               Да
                       Кресло EPIK А-001-MB                   volume                  -           0.45               Да
                       Кресло EPIK А-001-MB                   brutto                  -           32.2               Да
                       Кресло EPIK А-001-MB            package_depth                  -          730.0               Да
                        Кресло EPIK А-007-G            package_width                  -            440               Да
                        Кресло EPIK А-007-G                    netto                  -             29               Да
                        Кресло EPIK А-007-G           package_height                  -          930.0               Да
                        Кресло EPIK А-007-G                   volume                  -           0.31               Да
                        Кресло EPIK А-007-G                   brutto                  -           34.3               Да
                        Кресло EPIK А-007-G            package_depth                  -          765.0               Да
                        Кресло EPIK А-011-G            package_width                  -            645               Да
                        Кресло EPIK А-011-G                    netto                  -           28.6               Да
                        Кресло EPIK А-011-G           package_height                  -          960.0               Да
                        Кресло EPIK А-011-G                   volume                  -           0.29               Да
                        Кресло EPIK А-011-G                   brutto                  -           34.3               Да
                        Кресло EPIK А-011-G            package_depth                  -          470.0               Да
                                 KID's С-01            package_width                  -              -               Да
                                 KID's С-01                    netto                  -            4.6               Да
                                 KID's С-01           package_height                  -              -               Да
                                 KID's С-01                   volume                  -              -               Да
                                 KID's С-01                   brutto                  -           5.53               Да
                                 KID's С-01            package_depth                  -              -               Да
                                 KID's С-01            package_width                465              -               Да
                                 KID's С-01            package_depth                200              -               Да
                                 KID's С-01           package_height                455              -               Да
                                 KID's С-01                   volume               0,04              -               Да
                               Астек EG Б/п            package_width                  -              -               Да
                               Астек EG Б/п                    netto                  -           9.85               Да
                               Астек EG Б/п           package_height                  -              -               Да
                               Астек EG Б/п                   volume                  -              -               Да
                               Астек EG Б/п armrest_height_from_seat     min=-, max=200   min=-, max=-               Да
                               Астек EG Б/п                   brutto                  -              -               Да
                               Астек EG Б/п            package_depth                  -              -               Да
                               Астек EG Б/п            package_width                584              -               Да
                               Астек EG Б/п            package_depth                262              -               Да
                               Астек EG Б/п           package_height                584              -               Да
                               Астек EG Б/п                   brutto               11,2              -               Да
                               Астек EG Б/п                   volume               0,09              -               Да
                             Астек EG Гольф            package_width                  -              -               Да
                             Астек EG Гольф                    netto                  -           9.85               Да
                             Астек EG Гольф           package_height                  -              -               Да
                             Астек EG Гольф                   volume                  -              -               Да
                             Астек EG Гольф                   brutto                  -              -               Да
                             Астек EG Гольф            package_depth                  -              -               Да
                             Астек EG Гольф            package_width                584              -               Да
                             Астек EG Гольф            package_depth                262              -               Да
                             Астек EG Гольф           package_height                584              -               Да
                             Астек EG Гольф                   brutto               11,2              -               Да
                             Астек EG Гольф                   volume               0,09              -               Да
                             Астек EG Самба            package_width                  -              -               Да
                             Астек EG Самба                    netto                  -           9.85               Да
                             Астек EG Самба           package_height                  -              -               Да
                             Астек EG Самба                   volume                  -              -               Да
                             Астек EG Самба                   brutto                  -              -               Да
                             Астек EG Самба            package_depth                  -              -               Да
                             Астек EG Самба            package_width                584              -               Да
                             Астек EG Самба            package_depth                262              -               Да
                             Астек EG Самба           package_height                584              -               Да
                             Астек EG Самба                   brutto               11,2              -               Да
                             Астек EG Самба                   volume               0,09              -               Да
                          Астек Б/п пластик            package_width                  -              -               Да
                          Астек Б/п пластик                    netto                  -              -               Да
                          Астек Б/п пластик           package_height                  -              -               Да
                          Астек Б/п пластик                   volume                  -              -               Да
                          Астек Б/п пластик                   brutto                  -              -               Да
                          Астек Б/п пластик            package_depth                  -              -               Да
                          Астек Б/п пластик            package_width                584              -               Да
                          Астек Б/п пластик            package_depth                262              -               Да
                          Астек Б/п пластик           package_height                584              -               Да
                          Астек Б/п пластик                   brutto                9,4              -               Да
                          Астек Б/п пластик                   volume               0,09              -               Да
                        Астек Гольф пластик seat_width_with_armrests     min=-, max=600   min=-, max=-               Да
                        Астек Гольф пластик            package_width                  -              -               Да
                        Астек Гольф пластик                    netto                  -              -               Да
                        Астек Гольф пластик           package_height                  -              -               Да
                        Астек Гольф пластик                   volume                  -              -               Да
                        Астек Гольф пластик                   brutto                  -              -               Да
                        Астек Гольф пластик            package_depth                  -              -               Да
                        Астек Гольф пластик            package_width                584              -               Да
                        Астек Гольф пластик            package_depth                262              -               Да
                        Астек Гольф пластик           package_height                584              -               Да
                        Астек Гольф пластик                   brutto                9,4              -               Да
                        Астек Гольф пластик                   volume               0,09              -               Да
                        Астек Самба пластик            package_width                  -              -               Да
                        Астек Самба пластик                    netto                  -              -               Да
                        Астек Самба пластик           package_height                  -              -               Да
                        Астек Самба пластик                   volume                  -              -               Да
                        Астек Самба пластик                   brutto                  -              -               Да
                        Астек Самба пластик            package_depth                  -              -               Да
                        Астек Самба пластик            package_width                584              -               Да
                        Астек Самба пластик            package_depth                262              -               Да
                        Астек Самба пластик           package_height                584              -               Да
                        Астек Самба пластик                   brutto                9,4              -               Да
                        Астек Самба пластик                   volume               0,09              -               Да
                     Бэрри М-902 TG пластик            package_width                  -              -               Да
                     Бэрри М-902 TG пластик                    netto                  -            8.1               Да
                     Бэрри М-902 TG пластик           package_height                  -              -               Да
                     Бэрри М-902 TG пластик                   volume                  -              -               Да
                     Бэрри М-902 TG пластик                   brutto                  -              -               Да
                     Бэрри М-902 TG пластик            package_depth                  -              -               Да
                     Бэрри М-902 TG пластик            package_width                584              -               Да
                     Бэрри М-902 TG пластик            package_depth                262              -               Да
                     Бэрри М-902 TG пластик           package_height                584              -               Да
                     Бэрри М-902 TG пластик                   brutto                8,3              -               Да
                     Бэрри М-902 TG пластик                   volume               0,09              -               Да
                        Бэрри М-902 TG хром            package_width                  -              -               Да
                        Бэрри М-902 TG хром                    netto                  -              -               Да
                        Бэрри М-902 TG хром           package_height                  -              -               Да
                        Бэрри М-902 TG хром                   volume                  -              -               Да
                        Бэрри М-902 TG хром                   brutto                  -              -               Да
                        Бэрри М-902 TG хром            package_depth                  -              -               Да
                        Бэрри М-902 TG хром            package_width                584              -               Да
                        Бэрри М-902 TG хром            package_depth                262              -               Да
                        Бэрри М-902 TG хром           package_height                584              -               Да
                        Бэрри М-902 TG хром                   brutto                  9              -               Да
                        Бэрри М-902 TG хром                    netto                8,1              -               Да
                        Бэрри М-902 TG хром                   volume               0,09              -               Да
                               Стул ИЗО/ЖТС            package_width                  -            720               Да
                               Стул ИЗО/ЖТС                    netto                  -              -               Да
                               Стул ИЗО/ЖТС           package_height                  -          590.0               Да
                               Стул ИЗО/ЖТС                   volume                  -           0.13               Да
                               Стул ИЗО/ЖТС                   brutto                  -              -               Да
                               Стул ИЗО/ЖТС            package_depth                  -          290.0               Да
                               Стул ИЗО/ЖТС                   brutto                9,5              -               Да
                   Стул ИЗО/ЖТС со столиком            package_width                  -            720               Да
                   Стул ИЗО/ЖТС со столиком                    netto                  -              -               Да
                   Стул ИЗО/ЖТС со столиком           package_height                  -          590.0               Да
                   Стул ИЗО/ЖТС со столиком                   volume                  -           0.13               Да
                   Стул ИЗО/ЖТС со столиком                   brutto                  -              -               Да
                   Стул ИЗО/ЖТС со столиком            package_depth                  -          290.0               Да
                   Стул ИЗО/ЖТС со столиком                   brutto                9,5              -               Да
                 Клио С-101 Нептун ПВМ хром            package_width                  -              -               Да
                 Клио С-101 Нептун ПВМ хром                    netto                  -              -               Да
                 Клио С-101 Нептун ПВМ хром           package_height                  -              -               Да
                 Клио С-101 Нептун ПВМ хром                   volume                  -              -               Да
                 Клио С-101 Нептун ПВМ хром                   brutto                  -              -               Да
                 Клио С-101 Нептун ПВМ хром            package_depth                  -              -               Да
                 Клио С-101 Нептун ПВМ хром            package_width                624              -               Да
                 Клио С-101 Нептун ПВМ хром            package_depth                322              -               Да
                 Клио С-101 Нептун ПВМ хром           package_height                665              -               Да
                 Клио С-101 Нептун ПВМ хром                   brutto               13,2              -               Да
                 Клио С-101 Нептун ПВМ хром                   volume               0,13              -               Да
                        Комфорт Б/п пластик            package_width                  -              -               Да
                        Комфорт Б/п пластик                    netto                  -              -               Да
                        Комфорт Б/п пластик           package_height                  -              -               Да
                        Комфорт Б/п пластик                   volume                  -              -               Да
                        Комфорт Б/п пластик                   brutto                  -              -               Да
                        Комфорт Б/п пластик            package_depth                  -              -               Да
                        Комфорт Б/п пластик            package_width                574              -               Да
                        Комфорт Б/п пластик            package_depth                252              -               Да
                        Комфорт Б/п пластик           package_height                574              -               Да
                        Комфорт Б/п пластик                   brutto                7,5              -               Да
                        Комфорт Б/п пластик                   volume               0,09              -               Да
                     Кресло Кремона пластик            package_width                  -              -               Да
                     Кресло Кремона пластик                    netto                  -            8.6               Да
                     Кресло Кремона пластик           package_height                  -              -               Да
                     Кресло Кремона пластик                   volume                  -              -               Да
                     Кресло Кремона пластик                   brutto                  -              -               Да
                     Кресло Кремона пластик            package_depth                  -              -               Да
                     Кресло Кремона пластик            package_width                570              -               Да
                     Кресло Кремона пластик            package_depth                510              -               Да
                     Кресло Кремона пластик           package_height                610              -               Да
                     Кресло Кремона пластик                   brutto               10,1              -               Да
                     Кресло Кремона пластик                   volume               0,18              -               Да
                        Кресло Кремона хром            package_width                  -              -               Да
                        Кресло Кремона хром                    netto                  -              9               Да
                        Кресло Кремона хром           package_height                  -              -               Да
                        Кресло Кремона хром                   volume                  -              -               Да
                        Кресло Кремона хром                   brutto                  -              -               Да
                        Кресло Кремона хром            package_depth                  -              -               Да
                        Кресло Кремона хром            package_width                570              -               Да
                        Кресло Кремона хром            package_depth                510              -               Да
                        Кресло Кремона хром           package_height                610              -               Да
                        Кресло Кремона хром                   brutto               10,5              -               Да
                        Кресло Кремона хром                   volume               0,18              -               Да
                          Логика TG пластик            package_width                  -              -               Да
                          Логика TG пластик                    netto                  -              -               Да
                          Логика TG пластик           package_height                  -              -               Да
                          Логика TG пластик                   volume                  -              -               Да
                          Логика TG пластик                   brutto                  -              -               Да
                          Логика TG пластик            package_depth                  -              -               Да
                          Логика TG пластик            package_width                760              -               Да
                          Логика TG пластик            package_depth                440              -               Да
                          Логика TG пластик           package_height                650              -               Да
                          Логика TG пластик                   brutto               10,6              -               Да
                          Логика TG пластик                   volume               0,22              -               Да
               Манго С-109 Нептун Люкс хром            package_width                  -              -               Да
               Манго С-109 Нептун Люкс хром                    netto                  -              -               Да
               Манго С-109 Нептун Люкс хром           package_height                  -              -               Да
               Манго С-109 Нептун Люкс хром                   volume                  -              -               Да
               Манго С-109 Нептун Люкс хром                   brutto                  -              -               Да
               Манго С-109 Нептун Люкс хром            package_depth                  -              -               Да
               Манго С-109 Нептун Люкс хром            package_width                624              -               Да
               Манго С-109 Нептун Люкс хром            package_depth                322              -               Да
               Манго С-109 Нептун Люкс хром           package_height                665              -               Да
               Манго С-109 Нептун Люкс хром                   brutto               12,5              -               Да
               Манго С-109 Нептун Люкс хром                   volume               0,13              -               Да
                         Мартин Б/п пластик            package_width                  -              -               Да
                         Мартин Б/п пластик                    netto                  -              -               Да
                         Мартин Б/п пластик           package_height                  -              -               Да
                         Мартин Б/п пластик                   volume                  -              -               Да
                         Мартин Б/п пластик                   brutto                  -              -               Да
                         Мартин Б/п пластик            package_depth                  -              -               Да
                         Мартин Б/п пластик            package_width                584              -               Да
                         Мартин Б/п пластик            package_depth                262              -               Да
                         Мартин Б/п пластик           package_height                584              -               Да
                         Мартин Б/п пластик                   brutto                 10              -               Да
                         Мартин Б/п пластик                   volume               0,13              -               Да
                       Мартин Гольф пластик            package_width                  -              -               Да
                       Мартин Гольф пластик                    netto                  -              -               Да
                       Мартин Гольф пластик           package_height                  -              -               Да
                       Мартин Гольф пластик                   volume                  -              -               Да
                       Мартин Гольф пластик                   brutto                  -              -               Да
                       Мартин Гольф пластик            package_depth                  -              -               Да
                       Мартин Гольф пластик            package_width                584              -               Да
                       Мартин Гольф пластик            package_depth                262              -               Да
                       Мартин Гольф пластик           package_height                584              -               Да
                       Мартин Гольф пластик                   brutto                 10              -               Да
                       Мартин Гольф пластик                   volume               0,13              -               Да
                    Мартин Люкс Нептун хром            package_width                  -              -               Да
                    Мартин Люкс Нептун хром                    netto                  -              -               Да
                    Мартин Люкс Нептун хром           package_height                  -              -               Да
                    Мартин Люкс Нептун хром                   volume                  -              -               Да
                    Мартин Люкс Нептун хром                   brutto                  -              -               Да
                    Мартин Люкс Нептун хром            package_depth                  -              -               Да
                    Мартин Люкс Нептун хром            package_width                624              -               Да
                    Мартин Люкс Нептун хром            package_depth                322              -               Да
                    Мартин Люкс Нептун хром           package_height                665              -               Да
                    Мартин Люкс Нептун хром                   brutto                 12              -               Да
                    Мартин Люкс Нептун хром                   volume               0,13              -               Да
                   Мартин Люкс Т-01 пластик            package_width                  -              -               Да
                   Мартин Люкс Т-01 пластик                    netto                  -              -               Да
                   Мартин Люкс Т-01 пластик           package_height                  -              -               Да
                   Мартин Люкс Т-01 пластик                   volume                  -              -               Да
                   Мартин Люкс Т-01 пластик                   brutto                  -              -               Да
                   Мартин Люкс Т-01 пластик            package_depth                  -              -               Да
                   Мартин Люкс Т-01 пластик            package_width                584              -               Да
                   Мартин Люкс Т-01 пластик            package_depth                262              -               Да
                   Мартин Люкс Т-01 пластик           package_height                584              -               Да
                   Мартин Люкс Т-01 пластик                   brutto                 10              -               Да
                   Мартин Люкс Т-01 пластик                   volume               0,13              -               Да
                   Мартин Рондо ПВМ пластик            package_width                  -              -               Да
                   Мартин Рондо ПВМ пластик                    netto                  -              -               Да
                   Мартин Рондо ПВМ пластик           package_height                  -              -               Да
                   Мартин Рондо ПВМ пластик                   volume                  -              -               Да
                   Мартин Рондо ПВМ пластик                   brutto                  -              -               Да
                   Мартин Рондо ПВМ пластик            package_depth                  -              -               Да
                   Мартин Рондо ПВМ пластик            package_width                584              -               Да
